Category,Category_Description,subject,specific_subject
astro-ph,Astrophysics,astro-ph,
astro-ph.CO,Cosmology and Nongalactic Astrophysics,astro-ph,CO
astro-ph.EP,Earth and Planetary Astrophysics,astro-ph,EP
astro-ph.GA,Astrophysics of Galaxies,astro-ph,GA
astro-ph.HE,High Energy Astrophysical Phenomena,astro-ph,HE
astro-ph.IM,Instrumentation and Methods for Astrophysics,astro-ph,IM
astro-ph.SR,Solar and Stellar Astrophysics,astro-ph,SR
cond-mat.dis-nn,Disordered Systems and Neural Networks,cond-mat,dis-nn
cond-mat.mes-hall,Mesoscale and Nanoscale Physics,cond-mat,mes-hall
cond-mat.mtrl-sci,Materials Science,cond-mat,mtrl-sci
cond-mat.other,Other Condensed Matter,cond-mat,other
cond-mat.quant-gas,Quantum Gases,cond-mat,quant-gas
cond-mat.soft,Soft Condensed Matter,cond-mat,soft
cond-mat.stat-mech,Statistical Mechanics,cond-mat,stat-mech
cond-mat.str-el,Strongly Correlated Electrons,cond-mat,str-el
cond-mat.supr-con,Superconductivity,cond-mat,supr-con
cs.AI,Artificial Intelligence,cs,AI
cs.AR,Hardware Architecture,cs,AR
cs.CC,Computational Complexity,cs,CC
cs.CE,"Computational Engineering, Finance, and Science",cs,CE
cs.CG,Computational Geometry,cs,CG
cs.CL,Computation and Language,cs,CL
cs.CR,Cryptography and Security,cs,CR
cs.CV,Computer Vision and Pattern Recognition,cs,CV
cs.CY,Computers and Society,cs,CY
cs.DB,Databases,cs,DB
cs.DC,"Distributed, Parallel, and Cluster Computing",cs,DC
cs.DL,Digital Libraries,cs,DL
cs.DM,Discrete Mathematics,cs,DM
cs.DS,Data Structures and Algorithms,cs,DS
cs.ET,Emerging Technologies,cs,ET
cs.FL,Formal Languages and Automata Theory,cs,FL
cs.GL,General Literature,cs,GL
cs.GR,Graphics,cs,GR
cs.GT,Computer Science and Game Theory,cs,GT
cs.HC,Human-Computer Interaction,cs,HC
cs.IR,Information Retrieval,cs,IR
cs.IT,Information Theory,cs,IT
cs.LG,Machine Learning,cs,LG
cs.LO,Logic in Computer Science,cs,LO
cs.MA,Multiagent Systems,cs,MA
cs.MM,Multimedia,cs,MM
cs.MS,Mathematical Software,cs,MS
cs.NA,Numerical Analysis,cs,NA
